Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
cyrus-chancellor-ultimate-unisex-edt-100ml,Cyrus Chancellor Ultimate-unisex-edt-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,5.63,10.5,TRUE,TRUE,https://livish.com/cdn/shop/files/cyrus-chancellor-ultimate-eau-de-toilette-100ml-spray-p81821-30749-medium.jpg?v=1755668407&width=600,1,Cyrus Chancellor Ultimate-unisex-edt-100ml,FALSE,active
mancera-amore-caffe-unisex-edp-120ml,Mancera Amore Caffe Unisex Edp 120ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,31.3,54.75,TRUE,TRUE,https://livish.com/cdn/shop/files/mancera-amore-caffe-eau-de-parfum-120ml-22393153-48025332-2048.jpg?v=1755668452&width=600,1,Mancera Amore Caffe Unisex Edp 120ml,FALSE,active
roman-monegal-siesta-unisex-edp-100ml,Roman Monegal Siesta Unisex Edp 100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,62.5,85.8,TRUE,TRUE,https://livish.com/cdn/shop/files/siesta-100-c-2048x2048.jpg?v=1755668501&width=600,1,Roman Monegal Siesta Unisex Edp 100ml,FALSE,active
ormonde-jayne-montabaco-cuba-ltd-edition-2025-unisex-parfum-88ml,Ormonde Jayne Montabaco Cuba ( Ltd Edition 2025 )-unisex-parfum-88ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,75.0,94.2,TRUE,TRUE,https://livish.com/cdn/shop/files/montabaco-cuba-88ml-1.jpg?v=1755668544&width=600,1,Ormonde Jayne Montabaco Cuba ( Ltd Edition 2025 )-unisex-parfum-88ml,FALSE,active
tom-ford-ombre-leather-unisex-edp-100ml,Tom Ford Ombre Leather-unisex-edp-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,50.0,61.6,TRUE,TRUE,https://livish.com/cdn/shop/files/TOMFORDOMBRELEATHER-UNISEX-EDP-100ML.avif?v=1755668582&width=600,1,Tom Ford Ombre Leather-unisex-edp-100ml,FALSE,active
creed-silver-mountain-water-unisex-edp-100ml,Creed Silver Mountain Water-unisex-edp-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,81.25,91.0,TRUE,TRUE,https://livish.com/cdn/shop/files/CREEDSILVERMOUNTAINWATER-UNISEX-EDP-100ML.avif?v=1755668586&width=600,1,Creed Silver Mountain Water-unisex-edp-100ml,FALSE,active
paris-corner-cosmic-giardino-unisex-edp-100ml,Paris Corner Cosmic Giardino- Unisex -edp -100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,7.5,11.25,TRUE,TRUE,https://livish.com/cdn/shop/files/PARISCORNERCOSMICGIARDINO-UNISEX-EDP-100ML.webp?v=1755668658&width=600,1,Paris Corner Cosmic Giardino- Unisex -edp -100ml,FALSE,active
versace-atelier-vanille-rouge-unisex-edp-100ml,Versace-atelier - Vanille Rouge Unisex-edp 100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,81.8,110.7,TRUE,TRUE,https://livish.com/cdn/shop/files/Screenshot2025-08-04172628.png?v=1755668748&width=600,1,Versace-atelier - Vanille Rouge Unisex-edp 100ml,FALSE,active
guerlain-oud-essentiel-unisex-edp-125ml,Guerlain Oud Essentiel-unisex-edp-125ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,35.0,58.95,TRUE,TRUE,https://livish.com/cdn/shop/files/375x500.96471.avif?v=1755668806&width=600,1,Guerlain Oud Essentiel-unisex-edp-125ml,FALSE,active
marc-avento-la-vie-en-rose-women-edp-100ml-spray,Marc Avento-la Vie En Rose Women-edp 100ml Spray,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,23.3,30.0,TRUE,TRUE,https://livish.com/cdn/shop/files/Screenshot2025-08-03170154.png?v=1755668848&width=600,1,Marc Avento-la Vie En Rose Women-edp 100ml Spray,FALSE,active
zimaya-sharaf-the-club-unisex-edp-100ml,Zimaya Sharaf The Club-unisex-edp-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,6.25,11.25,TRUE,TRUE,https://livish.com/cdn/shop/files/ZIMAYASHARAFTHECLUB-UNISEX-EDP-100ML.webp?v=1755668873&width=600,1,Zimaya Sharaf The Club-unisex-edp-100ml,FALSE,active
zimaya-happy-oud-unisex-extrait-de-parfum-100ml,Zimaya Happy Oud-unisex-extrait De Parfum-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,5.0,9.0,TRUE,TRUE,https://livish.com/cdn/shop/files/ZIMAYAHAPPYOUD-UNISEX-EXTRAITDEPARFUM-100ML.avif?v=1755668874&width=600,1,Zimaya Happy Oud-unisex-extrait De Parfum-100ml,FALSE,active
